Film ,Major Studio,Rotten Tomatoes,Audience Score,Genre,Number of Theatres,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Imdb Rating,Release Date,Director,Poster
Vacancy,Sony,55,46,Comedy,2551,19.36,15.94,35.3,19,185.7900%,7.6,6.2,"Apr 20, 2007",Nimród Antal,http://ia.media-imdb.com/images/M/MV5BMTQ3MDk2MDI5N15BMl5BanBnXkFtZTcwMDgyNzUzMw@@._V1_SX300.jpg
In the Land of Women,Warner Bros.,43,72,Comedy,2155,11.05,6.51,17.56,10,175.6100%,4.7,6.6,"Apr 20, 2007",Jon Kasdan,http://ia.media-imdb.com/images/M/MV5BMTQ4MDQ3NTExMV5BMl5BanBnXkFtZTcwMTA0OTM0MQ@@._V1_SX300.jpg
Next,Paramount,29,59,Thriller,2725,18.21,57.86,76.07,70,108.6700%,7.1,6.2,"Apr 27, 2007",Lee Tamahori,http://ia.media-imdb.com/images/M/MV5BMTg3MjgyNjE1Nl5BMl5BanBnXkFtZTcwNTY1NDU0MQ@@._V1_SX300.jpg
Spider-Man 3,Sony,61,54,Action,4252,336.53,554.34,890.87,258,345.300%,151.1,6.2,"May 4, 2007",Sam Raimi,http://ia.media-imdb.com/images/M/MV5BODUwMDc5Mzc5M15BMl5BanBnXkFtZTcwNDgzOTY0MQ@@._V1_SX300.jpg
Shrek the Third,Paramount,42,57,Animation,4122,322.72,476.24,798.96,160,499.3500%,121.6,6.1,"May 18, 2007",Chris Miller: Raman Hui,http://ia.media-imdb.com/images/M/MV5BMTMyMjE1Mjc1NF5BMl5BanBnXkFtZTcwMzY0MjEzMw@@._V1_SX300.jpg
Pirates of the Caribbean: At World's End,Disney,45,74,Action,4362,309.42,654,963.42,300,321.1400%,114.7,7.1,"May 25, 2007",Gore Verbinski,http://ia.media-imdb.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg
Waitress,Independent,89,67,Romance,605,19.07,3.1,22.18,2,"1,108.900%",2,7.1,"May 25, 2007",Adrienne Shelly,http://ia.media-imdb.com/images/M/MV5BMTc4ODI2MjU2M15BMl5BanBnXkFtZTcwOTAzNzU0MQ@@._V1_SX300.jpg
Knocked Up,Universal,91,83,Comedy,2871,148.77,70.31,219.08,33,663.8600%,30.7,7.1,"Jun 1, 2007",Judd Apatow,http://ia.media-imdb.com/images/M/MV5BMTU1Njk0ODEwOF5BMl5BanBnXkFtZTYwMzA3ODc2._V1_SX300.jpg
Mr. Brooks,MGM,56,75,Thriller,2453,28.55,19.57,48.12,20,240.6100%,10,7.4,"Jun 1, 2007",Bruce A. Evans,http://ia.media-imdb.com/images/M/MV5BMTQyNTk5MTMxN15BMl5BanBnXkFtZTcwNTc0ODI1NA@@._V1_SX300.jpg
Ocean's 13,Warner Bros.,70,74,Thriller,3565,117.15,194.16,311.31,85,366.2500%,36.1,6.9,"Jun 8, 2007",Steven Soderbergh,NoData
Surf's Up,Sony,78,64,Animation,3528,58.87,90.18,149.04,85,175.3400%,17.6,6.8,"Jun 8, 2007",Ash Brannon: Chris Buck,http://ia.media-imdb.com/images/M/MV5BMjE4NDE3NzcwM15BMl5BanBnXkFtZTcwMTI0ODYzMw@@._V1_SX300.jpg
Hostel: Part II,Lionsgate,44,45,Horror,2350,17.61,18.01,35.62,10,356.1900%,8.2,5.4,"Jun 8, 2007",Eli Roth,http://ia.media-imdb.com/images/M/MV5BMjA1NTQ3MjI2N15BMl5BanBnXkFtZTYwNTQ4MTI3._V1_SX300.jpg
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Action,3959,131.92,157.13,289.05,130,222.3400%,58,5.7,"Jun 15, 2007",Tim Story,http://ia.media-imdb.com/images/M/MV5BMjExNzA3ODI2MF5BMl5BanBnXkFtZTgwODkxNTMyMTE@._V1_SX300.jpg
Nancy Drew,Independent,49,61,Thriller,2612,25.61,5.05,30.67,20,153.3300%,6.9,5.9,"Jun 15, 2007",Andrew Fleming,http://ia.media-imdb.com/images/M/MV5BMTk5OTkwOTA5OV5BMl5BanBnXkFtZTcwMTQwMTM0MQ@@._V1_SX300.jpg
Evan Almighty,Universal,23,56,Comedy,3604,100.46,72.96,173.42,175,99.100%,31.2,5.4,"Jun 22, 2007",Tom Shadyac,http://ia.media-imdb.com/images/M/MV5BMTUxMTEzODYxMV5BMl5BanBnXkFtZTcwNzQ4ODU0MQ@@._V1_SX300.jpg
Live Free or Die Hard,Fox,79,86,Action,3408,134.53,249,383.53,110,348.6600%,33.4,7.2,"Jun 27, 2007",Len Wiseman,http://ia.media-imdb.com/images/M/MV5BNDQxMDE1OTg4NV5BMl5BanBnXkFtZTcwMTMzOTQzMw@@._V1_SX300.jpg
Ratatouille,Disney,97,84,Animation,3940,206.45,417.28,623.72,150,415.8100%,47,8,"Jun 29, 2007",Brad Bird: Jan Pinkava,http://ia.media-imdb.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg
Transformers,Paramount,57,89,Action,4011,319.25,390.46,709.71,150,473.1400%,70.5,7.2,"Jul 3, 2007",Michael Bay,http://ia.media-imdb.com/images/M/MV5BMTQwNjU5MzUzNl5BMl5BanBnXkFtZTYwMzc1MTI3._V1_SX300.jpg
License to Wed,Warner Bros.,8,55,Comedy,2604,43.8,25.51,69.31,35,198.0200%,10.4,5.2,"Jul 3, 2007",Ken Kwapis,http://ia.media-imdb.com/images/M/MV5BMTI5MTM2MjQ5NV5BMl5BanBnXkFtZTcwOTc3MDc0MQ@@._V1_SX300.jpg
Sicko,The Weinstein Company,93,87,Documentary,702,24.54,11.55,36.09,9,400.9800%,3.6,8.1,"Jul 3, 2007",Michael Moore,http://ia.media-imdb.com/images/M/MV5BMjM2Mjc4MDkyOF5BMl5BanBnXkFtZTcwNjM2MDk0MQ@@._V1_SX300.jpg
Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Adventure,4285,292,647.88,939.89,150,626.5900%,77.1,7.4,"Jul 11, 2007",David Yates,http://ia.media-imdb.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_SX300.jpg
Death at a Funeral,Independent,40,48,Comedy,2459,42.74,6.31,49.05,21,233.5700%,16.2,7.4,"Jul 19, 2007",Frank Oz,http://ia.media-imdb.com/images/M/MV5BMTIwNjYyODU1NF5BMl5BanBnXkFtZTcwMDk4OTQ0MQ@@._V1_SX300.jpg
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,3495,120.06,66.01,186.07,85,218.9100%,34.2,6,"Jul 20, 2007",Dennis Dugan,NoData
Hairspray,Warner Bros.,92,84,Musical,3121,118.87,83.68,202.55,75,270.0600%,27.5,6.8,"Jul 20, 2007",Adam Shankman,http://ia.media-imdb.com/images/M/MV5BMTIyMTMzNzIyNV5BMl5BanBnXkFtZTcwMjM1NDk0MQ@@._V1_SX300.jpg
The Simpsons Movie,Fox,90,78,Comedy,3922,183.14,343.94,527.07,75,702.7600%,74,7.4,"Jul 27, 2007",David Silverman,http://ia.media-imdb.com/images/M/MV5BMTgxMDczMTA5N15BMl5BanBnXkFtZTcwMzk1MzMzMw@@._V1_SX300.jpg
No Reservations,Castle Rock Entertainment,39,64,Comedy,2425,43.11,49.49,92.6,28,330.7100%,11.7,6.3,"Jul 27, 2007",Scott Hicks,http://ia.media-imdb.com/images/M/MV5BMTI1NzQ5MzU1OV5BMl5BanBnXkFtZTcwNzExODU0MQ@@._V1_SX300.jpg
The Bourne Ultimatum,Universal,93,91,Thriller,3660,227.47,215.35,442.82,110,402.5700%,69.3,8.1,"Aug 3, 2007",Paul Greengrass,http://ia.media-imdb.com/images/M/MV5BMTgzNjMwOTM3N15BMl5BanBnXkFtZTcwMzA5MDY0MQ@@._V1_SX300.jpg
Daddy Day Camp,Sony,1,63,Comedy,2332,13.24,4.96,18.2,6,303.2800%,3.4,2.8,"Aug 8, 2007",Fred Savage,http://ia.media-imdb.com/images/M/MV5BMTM1NTUyMTExMF5BMl5BanBnXkFtZTcwNzk0MDI1MQ@@._V1_SX300.jpg
Rush Hour 3,Warner Bros.,20,68,Action,3778,140.13,117.9,258.02,140,184.300%,49.1,6.2,"Aug 10, 2007",Brett Ratner,http://ia.media-imdb.com/images/M/MV5BMTA0Nzg5NjQ0MDBeQTJeQWpwZ15BbWU3MDE4Mzg5NDE@._V1_SX300.jpg
Stardust,Paramount,76,86,Adventure,2540,38.63,96.93,135.56,70,193.6600%,9.16,7.7,"Aug 10, 2007",Matthew Vaughn,http://ia.media-imdb.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg
Superbad,Sony,88,87,Comedy,2948,121.46,48.41,169.87,20,849.3600%,33,7.6,"Aug 17, 2007",Greg Mottola,http://ia.media-imdb.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_SX300.jpg
The Invasion,Warner Bros.,19,43,Sci-Fi,2776,15.07,25.1,40.17,80,50.2100%,5.6,5.9,"Aug 17, 2007",Oliver Hirschbiegel: James McTeigue,http://ia.media-imdb.com/images/M/MV5BMTQ1NzM0NjI4M15BMl5BanBnXkFtZTcwOTg2NjUzMw@@._V1_SX300.jpg
The Nanny Diaries,The Weinstein Company,33,52,Comedy,2629,25.93,21.81,47.74,20,238.6900%,7.5,6.1,"Aug 24, 2007",Shari Springer Berman: Robert Pulcini,http://ia.media-imdb.com/images/M/MV5BMTkxMjU5MTY0Ml5BMl5BanBnXkFtZTcwNzU4NjU0MQ@@._V1_SX300.jpg
Halloween,The Weinstein Company,26,64,Horror,3472,58.27,21.98,80.25,20,401.2700%,26.4,6.1,"Aug 31, 2007",Rob Zombie,http://ia.media-imdb.com/images/M/MV5BMTY0Nzk0NTk2OF5BMl5BanBnXkFtZTcwNjQ3NTk0MQ@@._V1_SX300.jpg
3:10 to Yuma,Lionsgate,88,85,Western,2652,53.61,16.41,70.02,48,145.8600%,14,7.8,"Sep 7, 2007",James Mangold,http://ia.media-imdb.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_SX300.jpg
Shoot 'Em Up,Warner Bros.,67,66,Action,2108,12.81,14.01,26.82,39,68.7700%,5.7,6.7,"Sep 7, 2007",Michael Davis,http://ia.media-imdb.com/images/M/MV5BMjEwMDA1MDUwNl5BMl5BanBnXkFtZTcwMDQzMzM1MQ@@._V1_SX300.jpg
The Brave One,Warner Bros,43,65,Action,2755,36.79,32.99,69.79,70,99.6900%,13.5,6.8,"Sep 14, 2007",Neil Jordan,http://ia.media-imdb.com/images/M/MV5BMTA4OTA4Njk4MDdeQTJeQWpwZ15BbWU3MDc0NDY1MzM@._V1_SX300.jpg
The Hills Have Eyes 2,Independent,11,50,Horror,2447,20.8,16.66,37.47,15,249.7700%,9.7,6.6,"Sep 14, 2007",Alexandre Aja,N/A
Dragon Wars (aka D-War),Mediaplex,27,44,Action,2277,10.98,64.13,75.11,75,100.1400%,5,3.6,"Sep 14, 2007",Hyung-rae Shim,NoData
Good Luck Chuck,Lionsgate,3,61,Comedy,2612,35.02,24.17,59.19,25,236.7600%,13.7,5.6,"Sep 21, 2007",Mark Helfrich,http://ia.media-imdb.com/images/M/MV5BMTIwMTI1MTQzM15BMl5BanBnXkFtZTcwOTgwNjM1MQ@@._V1_SX300.jpg
The Game Plan,Disney,27,75,Comedy,3103,90.65,57.23,147.88,22,672.1800%,22.9,6.2,"Sep 28, 2007",Andy Fickman,http://ia.media-imdb.com/images/M/MV5BMTAzNDIyODYzMTJeQTJeQWpwZ15BbWU3MDA3NTA5NDE@._V1_SX300.jpg
The Kingdom,Universal,52,78,Action,2793,47.54,39.12,86.66,80,108.3200%,17.1,7.1,"Sep 28, 2007",Peter Berg,http://ia.media-imdb.com/images/M/MV5BMjA1MDIzOTYwMV5BMl5BanBnXkFtZTcwMTM5OTA1MQ@@._V1_SX300.jpg
The Heartbreak Kid,Paramount,30,41,Comedy,3229,36.79,90.98,127.77,60,212.9400%,14,5.8,"Oct 5, 2007",Bobby Farrelly: Peter Farrelly,http://ia.media-imdb.com/images/M/MV5BMjExNTM2NTE2NF5BMl5BanBnXkFtZTcwOTI5MDUzMw@@._V1_SX300.jpg
Michael Clayton,Independent,90,72,Thriller,2511,49.03,43.96,92.99,25,371.9600%,10.4,7.3,"Oct 12, 2007",Tony Gilroy,http://ia.media-imdb.com/images/M/MV5BMTc0NTU5MjI2MV5BMl5BanBnXkFtZTcwMTg5NTQzMw@@._V1_SX300.jpg
We Own the Night,Sony,55,63,Drama,2362,28.56,26.36,54.93,21,261.5500%,10.8,6.9,"Oct 12, 2007",James Gray,http://ia.media-imdb.com/images/M/MV5BMTY0MTQ5OTcyNF5BMl5BanBnXkFtZTcwMDE0NzUzMw@@._V1_SX300.jpg
Across the Universe,Independent,54,84,Romance,954,24.34,5.02,29.37,45,65.2600%,3.8,7.5,"Oct 12, 2007",Julie Taymor,http://ia.media-imdb.com/images/M/MV5BMTIyMTUwNzg3Nl5BMl5BanBnXkFtZTcwMjM1MDI1MQ@@._V1_SX300.jpg
30 Days of Night,Independent,50,57,Horror,2855,39.57,35.94,75.5,32,235.9500%,15.6,6.6,"Oct 19, 2007",David Slade,http://ia.media-imdb.com/images/M/MV5BMjE2MDE5ODIxMF5BMl5BanBnXkFtZTcwMjMyMTU1MQ@@._V1_SX300.jpg
Into the Wild,Paramount,82,90,Drama,658,18.35,37.9,56.25,15,375.0300%,2.1,8.2,"Oct 19, 2007",Sean Penn,http://ia.media-imdb.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_SX300.jpg
Saw IV,Independent,18,70,Horror,3183,63.3,76.05,139.35,10,"1,393.5200%",31.7,5.9,"Oct 26, 2007",Darren Lynn Bousman,http://ia.media-imdb.com/images/M/MV5BNjc0NjUyNzg3MF5BMl5BanBnXkFtZTYwODMxOTM3._V1_SX300.jpg
The Darjeeling Limited,Fox,67,79,Drama,698,11.9,23.18,35.08,17.5,200.4500%,1.8,7.2,"Oct 26, 2007",Wes Anderson,http://ia.media-imdb.com/images/M/MV5BMTM0MTQ4MTgwOF5BMl5BanBnXkFtZTcwMDA3MDU1MQ@@._V1_SX300.jpg
American Gangster,Universal,79,87,Thriller,3054,130.16,136.3,266.46,100,266.4600%,43.6,7.8,"Nov 2, 2007",Ridley Scott,http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1_SX300.jpg
Bee Movie,Paramount,52,57,Animation,3928,126.63,160.96,287.59,150,191.7300%,38,6.2,"Nov 2, 2007",Steve Hickner: Simon J. Smith,http://ia.media-imdb.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_SX300.jpg
Lions for Lambs,Independent,27,48,Drama,2215,15,48.21,63.22,35,180.6100%,6.7,6.2,"Nov 9, 2007",Robert Redford,http://ia.media-imdb.com/images/M/MV5BMTcyMzc0MzYyM15BMl5BanBnXkFtZTcwMTM2NDk0NA@@._V1_SX300.jpg
Beowulf,Paramount,71,52,Action,3153,82.28,114.11,196.39,150,130.9300%,27.5,6.3,"Nov 16, 2007",Robert Zemeckis,http://ia.media-imdb.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_SX300.jpg
Mr. Magorium's Wonder Emporium,Independent,36,56,Fantasy,3164,32.06,37.41,69.47,25,277.900%,9.63,6.2,"Nov 16, 2007",Zach Helm,http://ia.media-imdb.com/images/M/MV5BMTI4MzY1OTY3NF5BMl5BanBnXkFtZTYwNzU1Nzc4._V1_SX300.jpg
Enchanted,Disney,93,80,Comedy,3730,127.81,212.68,340.49,85,400.5700%,34.4,7.2,"Nov 21, 2007",Kevin Lima,http://ia.media-imdb.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SX300.jpg
No Country for Old Men,Paramount,95,84,Drama,860,74.28,97.34,171.63,25,686.500%,7.8,8.1,"Nov 21, 2007",Ethan Coen: Joel Coen,http://ia.media-imdb.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg
Hitman,Fox,15,61,Action,2458,39.69,60.28,99.97,17.5,571.2300%,13.2,6.3,"Nov 21, 2007",Xavier Gens,http://ia.media-imdb.com/images/M/MV5BMTI1MzE2Mjc4NV5BMl5BanBnXkFtZTYwMDMwMzM3._V1_SX300.jpg
The Mist,The Weinstein Company,72,64,Horror,2423,25.59,31.7,57.29,18,318.2900%,8.9,7.2,"Nov 21, 2007",Frank Darabont,http://ia.media-imdb.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@._V1_SX300.jpg
The Golden Compass,Warner Bros.,42,55,Action,3528,70.11,302.13,372.23,180,206.800%,25.7,6.1,"Dec 7, 2007",Chris Weitz,http://ia.media-imdb.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_SX300.jpg
I Am Legend,Warner Bros.,69,69,Thriller,3606,256.39,328.96,585.35,150,390.2300%,77.2,7.2,"Dec 14, 2007",Francis Lawrence,http://ia.media-imdb.com/images/M/MV5BMTU4NzMyNDk1OV5BMl5BanBnXkFtZTcwOTEwMzU1MQ@@._V1_SX300.jpg
Alvin and the Chipmunks,Fox,26,73,Animation,3475,217.33,144.01,361.34,70,516.1900%,44.3,5.3,"Dec 14, 2007",Tim Hill,http://ia.media-imdb.com/images/M/MV5BMTIwOTE4MTU4MV5BMl5BanBnXkFtZTcwMDk1MDU1MQ@@._V1_SX300.jpg
National Treasure: Book of Secrets,Disney,31,72,Thriller,3832,219.96,237.4,457.36,130,351.8200%,44.8,6.5,"Dec 21, 2007",Jon Turteltaub,http://ia.media-imdb.com/images/M/MV5BMTU2NTM3NjU1N15BMl5BanBnXkFtZTcwODg1MDU1MQ@@._V1_SX300.jpg
Charlie Wilson's War,Universal,82,73,Biography,2575,66.66,52.34,119,75,158.6700%,9.6,7.1,"Dec 21, 2007",Mike Nichols,http://ia.media-imdb.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4._V1_SX300.jpg
P.S. I Love You,Independent,21,82,Romance,2454,53.7,103.14,156.83,30,522.7800%,6.5,7,"Dec 21, 2007",Richard LaGravenese,http://ia.media-imdb.com/images/M/MV5BNTg2MDg4MjI5NV5BMl5BanBnXkFtZTcwMzQ0MDczMw@@._V1_SX300.jpg
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Musical,1249,52.9,99.63,152.52,50,305.0500%,9.3,7.5,"Dec 21, 2007",Tim Burton,http://ia.media-imdb.com/images/M/MV5BMTg3NjUxMzM5NV5BMl5BanBnXkFtZTcwMzQ1NjQzMw@@._V1_SX300.jpg
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,2650,18.32,2.26,20.58,35,58.7900%,4.1,6.7,"Dec 21, 2007",Jake Kasdan,http://ia.media-imdb.com/images/M/MV5BMTk5NDMyNTk0N15BMl5BanBnXkFtZTcwMTQ4MDUzMw@@._V1_SX300.jpg
Juno,Fox,94,89,Comedy,1019,143.5,87.92,231.41,7.5,"3,085.4800%",10.6,7.6,"Dec 25, 2007",Jason Reitman,http://ia.media-imdb.com/images/M/MV5BMTgxMjgyMTcyNF5BMl5BanBnXkFtZTcwMDg1MTU1MQ@@._V1_SX300.jpg
Aliens vs. Predator -- Requiem,Fox,14,37,Horror,2611,41.8,87.09,128.88,40,322.2100%,10,4.7,"Dec 25, 2007",Colin Strause: Greg Strause,http://ia.media-imdb.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg
One Missed Call,Warner Bros.,0,36,Horror,2240,26.89,18.96,45.85,20,229.2400%,12.5,3.9,"Jan 4, 2008",Eric Valette,http://ia.media-imdb.com/images/M/MV5BMjA2NTk0OTcyMV5BMl5BanBnXkFtZTcwMzk1MDU1MQ@@._V1_SX300.jpg
The Bucket List,Warner Bros.,41,81,Drama,2911,93.47,81.91,175.37,45,389.7200%,19.4,7.4,"Jan 11, 2008",Rob Reiner,http://ia.media-imdb.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_SX300.jpg
The Kite Runner,Paramount,66,85,Drama,715,15.8,57.48,73.28,20,366.3800%,1.6,7.6,"Jan 11, 2008",Marc Forster,http://ia.media-imdb.com/images/M/MV5BODcyNjY2MjEwM15BMl5BanBnXkFtZTcwODQ0MzI1MQ@@._V1_SX300.jpg
First Sunday,Sony,13,59,Comedy,2213,37.93,0.87,38.8,13,298.4800%,17.7,4.2,"Jan 11, 2008",David E. Talbert,http://ia.media-imdb.com/images/M/MV5BMjE4MTYzMTMxMl5BMl5BanBnXkFtZTYwNzc0Nzc4._V1_SX300.jpg
Cloverfield,Paramount,77,67,Action,3411,80.05,90.72,170.76,25,683.0500%,40.1,7.1,"Jan 18, 2008",Matt Reeves,http://ia.media-imdb.com/images/M/MV5BMTQ1NzU4NjI5Nl5BMl5BanBnXkFtZTcwNTkyMjc1MQ@@._V1_SX300.jpg
27 Dresses,Fox,40,71,Comedy,3057,76.81,83.45,160.26,30,534.1900%,23.01,6.1,"Jan 18, 2008",Anne Fletcher,http://ia.media-imdb.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1_SX300.jpg
Mad Money,Independent,22,51,Comedy,2470,20.67,5.74,26.41,22,120.0500%,7.74,5.8,"Jan 18, 2008",Callie Khouri,http://ia.media-imdb.com/images/M/MV5BMTgyMTY2NTIxM15BMl5BanBnXkFtZTcwNTg3NzczMw@@._V1_SX300.jpg
There Will Be Blood,Paramount,91,84,Drama,885,40.22,35.96,76.18,25,304.7200%,4.9,8.1,"Jan 25, 2008",Paul Thomas Anderson,http://ia.media-imdb.com/images/M/MV5BMjA0NjE1ODEyNV5BMl5BanBnXkFtZTcwNDIzMzE5NQ@@._V1_SX300.jpg
